date,price
9/13/2024,1251.71
9/12/2024,1256.35
9/11/2024,1253.27
9/10/2024,1255.23
9/9/2024,1267.73
9/6/2024,1273.96
9/5/2024,1268.21
9/4/2024,1275.80
8/30/2024,1283.87
8/29/2024,1281.47
8/28/2024,1281.44
8/27/2024,1280.56
8/26/2024,1280.02
8/23/2024,1285.32
8/22/2024,1282.78
8/21/2024,1284.05
8/20/2024,1272.55
8/19/2024,1261.62
8/16/2024,1252.23
8/15/2024,1223.56
8/14/2024,1230.36
8/13/2024,1230.42
8/12/2024,1230.28
8/9/2024,1223.64
8/8/2024,1208.32
8/7/2024,1215.88
8/6/2024,1210.28
8/5/2024,1188.07
8/2/2024,1236.60
8/1/2024,1226.96
7/31/2024,1251.51
7/30/2024,1245.06
7/29/2024,1246.60
7/26/2024,1242.11
7/25/2024,1233.19
7/24/2024,1238.47
7/23/2024,1231.81
7/22/2024,1254.64
7/19/2024,1264.78
7/18/2024,1274.44
7/17/2024,1268.66
7/16/2024,1281.18
7/15/2024,1279.82
7/12/2024,1280.75
7/11/2024,1283.80
7/10/2024,1285.94
7/9/2024,1293.71
7/8/2024,1283.56
7/5/2024,1283.04
7/4/2024,1279.89
7/3/2024,1276.85
7/2/2024,1269.79
7/1/2024,1254.56
6/28/2024,1245.32
6/27/2024,1259.09
6/26/2024,1261.24
6/25/2024,1256.56
6/24/2024,1254.12
6/21/2024,1282.02
6/20/2024,1282.30
6/19/2024,1279.79
6/18/2024,1279.50
6/17/2024,1274.77
6/14/2024,1279.91
6/13/2024,1301.51
6/12/2024,1300.19
6/11/2024,1284.41
6/10/2024,1290.67
6/7/2024,1287.58
6/6/2024,1283.56
6/5/2024,1284.35
6/4/2024,1283.52
6/3/2024,1280.00
5/31/2024,1261.72
5/30/2024,1266.32
5/29/2024,1272.64
5/28/2024,1281.73
5/27/2024,1267.68
5/24/2024,1261.93
5/23/2024,1281.03
5/22/2024,1266.91
5/21/2024,1277.14
5/20/2024,1277.58
5/17/2024,1273.11
5/16/2024,1268.78
5/15/2024,1254.39
5/14/2024,1243.28
5/13/2024,1240.18
5/10/2024,1244.70
5/9/2024,1248.64
5/8/2024,1250.46
5/7/2024,1248.63
5/6/2024,1241.58
5/3/2024,1221.03
5/2/2024,1216.36
4/26/2024,1209.52
4/25/2024,1204.97
4/24/2024,1205.61
4/23/2024,1177.40
4/22/2024,1190.22
4/19/2024,1174.85
4/17/2024,1193.01
4/16/2024,1215.68
4/15/2024,1216.61
4/12/2024,1276.60
4/11/2024,1258.20
4/10/2024,1258.56
4/9/2024,1262.82
4/8/2024,1250.35
4/5/2024,1255.11
4/4/2024,1268.25
4/3/2024,1271.47
4/2/2024,1287.04
4/1/2024,1281.52
3/29/2024,1284.09
3/28/2024,1290.18
3/27/2024,1283.09
3/26/2024,1282.21
3/25/2024,1267.86
3/22/2024,1281.80
3/21/2024,1276.42
3/20/2024,1260.08
3/19/2024,1242.46
3/18/2024,1243.56
3/15/2024,1263.78
3/14/2024,1264.26
3/13/2024,1270.51
3/12/2024,1245.00
3/11/2024,1235.49
3/8/2024,1247.35
3/7/2024,1268.46
3/6/2024,1262.73
3/5/2024,1269.98
3/4/2024,1261.41
3/1/2024,1258.28
2/29/2024,1252.73
2/28/2024,1254.55
2/27/2024,1237.46
2/26/2024,1224.17
2/23/2024,1212.00
2/22/2024,1227.31
2/21/2024,1230.04
2/20/2024,1230.06
2/19/2024,1224.97
2/16/2024,1209.70
2/15/2024,1202.50
2/7/2024,1198.53
2/6/2024,1188.48
2/5/2024,1186.06
2/2/2024,1172.55
2/1/2024,1173.02
1/31/2024,1164.31
1/30/2024,1179.65
1/29/2024,1175.69
1/26/2024,1175.67
1/25/2024,1170.37
1/24/2024,1172.97
1/23/2024,1177.50
1/22/2024,1182.86
1/19/2024,1181.50
1/18/2024,1169.06
1/17/2024,1162.53
1/16/2024,1163.12
1/15/2024,1154.12
1/12/2024,1154.70
1/11/2024,1162.22
1/10/2024,1161.54
1/9/2024,1158.59
1/8/2024,1160.19
1/5/2024,1154.68
1/4/2024,1150.72
1/3/2024,1144.17
1/2/2024,1131.72
12/29/2023,1129.93
12/28/2023,1128.93
12/27/2023,1121.99
12/26/2023,1122.25
12/25/2023,1117.66
12/22/2023,1103.06
12/21/2023,1102.43
12/20/2023,1100.76
12/19/2023,1096.30
12/18/2023,1091.88
12/15/2023,1102.30
12/14/2023,1110.13
12/13/2023,1114.20
12/12/2023,1127.63
12/11/2023,1125.50
12/8/2023,1124.44
12/7/2023,1121.49
12/6/2023,1126.43
12/5/2023,1115.97
12/4/2023,1120.49
12/1/2023,1102.16
11/30/2023,1094.13
11/29/2023,1102.80
11/28/2023,1095.43
11/27/2023,1088.06
11/24/2023,1095.61
11/23/2023,1088.49
11/22/2023,1113.82
11/21/2023,1110.46
11/20/2023,1103.66
11/17/2023,1101.19
11/16/2023,1125.53
11/15/2023,1122.50
11/14/2023,1109.73
11/13/2023,1100.07
11/10/2023,1101.68
11/9/2023,1113.89
11/8/2023,1113.43
11/7/2023,1080.29
11/6/2023,1089.66
11/3/2023,1076.78
11/2/2023,1075.47
11/1/2023,1039.66
10/31/2023,1028.19
10/30/2023,1042.40
10/27/2023,1060.62
10/26/2023,1055.45
10/25/2023,1101.66
10/24/2023,1105.90
10/23/2023,1093.53
10/20/2023,1108.03
10/19/2023,1087.85
10/18/2023,1103.40
10/17/2023,1121.65
10/16/2023,1141.42
10/13/2023,1154.73
10/12/2023,1151.61
10/11/2023,1150.81
10/10/2023,1143.69
10/9/2023,1137.36
10/6/2023,1128.54
10/5/2023,1113.89
10/4/2023,1128.67
10/3/2023,1118.10
10/2/2023,1155.25
9/29/2023,1154.15
9/28/2023,1152.43
9/27/2023,1153.85
9/26/2023,1137.96
9/25/2023,1153.20
9/22/2023,1193.05
9/21/2023,1212.74
9/20/2023,1226.11
9/19/2023,1211.50
9/18/2023,1211.81
9/15/2023,1227.36
9/14/2023,1223.81
9/13/2023,1238.39
9/12/2023,1245.44
9/11/2023,1223.63
9/8/2023,1241.48
9/7/2023,1243.14
9/6/2023,1245.50
9/5/2023,1234.98
8/31/2023,1224.05
8/30/2023,1213.16
8/29/2023,1204.43
8/28/2023,1201.72
8/25/2023,1183.37
8/24/2023,1189.39
8/23/2023,1172.56
8/22/2023,1180.49
8/21/2023,1179.76
8/18/2023,1177.99
8/17/2023,1233.48
8/16/2023,1243.26
8/15/2023,1234.05
8/14/2023,1236.84
8/11/2023,1232.21
8/10/2023,1220.61
8/9/2023,1233.99
8/8/2023,1242.23
8/7/2023,1241.42
8/4/2023,1225.98
8/3/2023,1210.95
8/2/2023,1220.43
8/1/2023,1217.56
7/31/2023,1222.90
7/28/2023,1207.67
7/27/2023,1197.33
7/26/2023,1200.84
7/25/2023,1195.90
7/24/2023,1190.72
7/21/2023,1185.90
7/20/2023,1172.81
7/19/2023,1172.98
7/18/2023,1174.09
7/17/2023,1173.13
7/14/2023,1168.40
7/13/2023,1165.42
7/12/2023,1154.20
7/11/2023,1151.77
7/10/2023,1149.02
7/7/2023,1138.07
7/6/2023,1126.22
7/5/2023,1134.62
7/4/2023,1132.00
7/3/2023,1125.50
6/30/2023,1120.18
6/29/2023,1125.39
6/28/2023,1138.35
6/27/2023,1134.33
6/26/2023,1132.03
6/23/2023,1129.38
6/22/2023,1125.30
6/21/2023,1118.46
6/20/2023,1111.72
6/19/2023,1105.40
6/16/2023,1115.22
6/15/2023,1116.97
6/14/2023,1117.42
6/13/2023,1122.46
6/12/2023,1116.02
6/9/2023,1107.53
6/8/2023,1101.32
6/7/2023,1109.54
6/6/2023,1108.31
6/5/2023,1097.82
6/2/2023,1090.84
6/1/2023,1078.39
5/31/2023,1075.17
5/30/2023,1078.05
5/29/2023,1074.98
5/26/2023,1063.76
5/25/2023,1064.63
5/24/2023,1061.79
5/23/2023,1065.85
5/22/2023,1070.64
5/19/2023,1067.07
5/18/2023,1068.31
5/17/2023,1060.44
5/16/2023,1065.91
5/15/2023,1065.71
5/12/2023,1066.90
5/11/2023,1057.12
5/10/2023,1058.26
5/9/2023,1053.77
5/8/2023,1053.44
5/5/2023,1040.31
5/4/2023,1040.61
4/28/2023,1049.12
4/27/2023,1039.63
4/26/2023,1040.80
4/25/2023,1034.85
4/24/2023,1041.36
4/21/2023,1042.91
4/20/2023,1049.25
4/19/2023,1048.98
4/18/2023,1055.02
4/17/2023,1053.81
4/14/2023,1052.89
4/13/2023,1064.30
4/12/2023,1069.45
4/11/2023,1069.46
4/10/2023,1065.35
4/7/2023,1069.71
4/6/2023,1070.91
4/5/2023,1080.86
4/4/2023,1078.45
4/3/2023,1079.28
3/31/2023,1064.64
3/30/2023,1059.44
3/29/2023,1056.33
3/28/2023,1054.29
3/27/2023,1052.25
3/24/2023,1046.79
3/23/2023,1045.10
3/22/2023,1040.54
3/21/2023,1032.43
3/20/2023,1023.10
3/17/2023,1045.14
3/16/2023,1047.40
3/15/2023,1062.19
3/14/2023,1040.13
3/13/2023,1052.80
3/10/2023,1053.00
3/9/2023,1055.95
3/8/2023,1049.18
3/7/2023,1037.84
3/6/2023,1027.18
3/3/2023,1024.77
3/2/2023,1037.61
3/1/2023,1040.55
2/28/2023,1024.68
2/27/2023,1021.25
2/24/2023,1039.56
2/23/2023,1053.66
2/22/2023,1054.28
2/21/2023,1082.23
2/20/2023,1086.69
2/17/2023,1059.31
2/16/2023,1058.29
2/15/2023,1048.20
2/14/2023,1038.64
2/13/2023,1043.70
2/10/2023,1055.30
2/9/2023,1064.03
2/8/2023,1072.22
2/7/2023,1065.84
2/6/2023,1089.29
2/3/2023,1077.15
2/2/2023,1077.59
2/1/2023,1075.97
1/31/2023,1111.18
1/30/2023,1102.57
1/27/2023,1117.10
1/19/2023,1108.08
1/18/2023,1098.28
1/17/2023,1088.29
1/16/2023,1066.68
1/13/2023,1060.17
1/12/2023,1056.39
1/11/2023,1055.76
1/10/2023,1053.35
1/9/2023,1054.21
1/6/2023,1051.44
1/5/2023,1055.82
1/4/2023,1046.35
1/3/2023,1043.90
12/30/2022,1007.09
12/29/2022,1009.29
12/28/2022,1015.66
12/27/2022,1004.57
12/26/2022,985.21
12/23/2022,1020.34
12/22/2022,1022.61
12/21/2022,1018.88
12/20/2022,1023.13
12/19/2022,1038.40
12/16/2022,1052.48
12/15/2022,1055.32
12/14/2022,1050.43
12/13/2022,1047.45
12/12/2022,1032.07
12/9/2022,1051.81
12/8/2022,1050.53
12/7/2022,1041.02
12/6/2022,1048.69
12/5/2022,1093.67
12/2/2022,1080.01
12/1/2022,1036.28
11/30/2022,1048.42
11/29/2022,1032.16
11/28/2022,1005.69
11/25/2022,971.46
11/24/2022,947.71
11/23/2022,946.00
11/22/2022,952.12
11/21/2022,960.65
11/18/2022,969.33
11/17/2022,969.26
11/16/2022,942.90
11/15/2022,911.90
11/14/2022,941.04
11/11/2022,954.53
11/10/2022,947.24
11/9/2022,985.59
11/8/2022,981.65
11/7/2022,975.19
11/4/2022,997.15
11/3/2022,1019.81
11/2/2022,1023.19
11/1/2022,1033.75
10/31/2022,1027.94
10/28/2022,1027.36
10/27/2022,1028.01
10/26/2022,993.36
10/25/2022,997.70
10/24/2022,986.15
10/21/2022,1019.82
10/20/2022,1058.45
10/19/2022,1060.07
10/18/2022,1063.66
10/17/2022,1051.58
10/14/2022,1061.85
10/13/2022,1050.99
10/12/2022,1034.81
10/11/2022,1006.20
10/10/2022,1042.48
10/7/2022,1035.91
10/6/2022,1074.52
10/5/2022,1104.26
10/4/2022,1078.14
10/3/2022,1086.44
9/30/2022,1132.11
9/29/2022,1126.07
9/28/2022,1143.62
9/27/2022,1166.54
9/26/2022,1174.35
9/23/2022,1203.28
9/22/2022,1214.70
9/21/2022,1210.55
9/20/2022,1218.93
9/19/2022,1205.43
9/16/2022,1234.03
9/15/2022,1245.66
9/14/2022,1240.77
9/13/2022,1248.40
9/12/2022,1249.62
9/9/2022,1248.78
9/8/2022,1234.60
9/7/2022,1243.17
9/6/2022,1277.40
9/5/2022,1277.35
8/31/2022,1280.51
8/30/2022,1279.39
8/29/2022,1270.80
8/26/2022,1282.57
8/25/2022,1288.88
8/24/2022,1277.16
8/23/2022,1270.81
8/22/2022,1260.43
8/19/2022,1269.18
8/18/2022,1273.66
8/17/2022,1275.28
8/16/2022,1274.69
8/15/2022,1274.20
8/12/2022,1262.33
8/11/2022,1252.07
8/10/2022,1256.50
8/9/2022,1258.85
8/8/2022,1256.75
8/5/2022,1252.74
8/4/2022,1254.15
8/3/2022,1249.76
8/2/2022,1241.62
8/1/2022,1231.35
7/29/2022,1206.33
7/28/2022,1208.12
7/27/2022,1191.04
7/26/2022,1185.07
7/25/2022,1188.50
7/22/2022,1194.76
7/21/2022,1198.47
7/20/2022,1194.14
7/19/2022,1178.33
7/18/2022,1176.49
7/15/2022,1179.25
7/14/2022,1182.17
7/13/2022,1173.92
7/12/2022,1174.82
7/11/2022,1155.29
7/8/2022,1171.31
7/7/2022,1166.48
7/6/2022,1149.61
7/5/2022,1181.29
7/4/2022,1195.53
7/1/2022,1198.90
6/30/2022,1197.60
6/29/2022,1218.09
6/28/2022,1218.10
6/27/2022,1202.82
6/24/2022,1185.48
6/23/2022,1188.88
6/22/2022,1169.27
6/21/2022,1172.47
6/20/2022,1180.40
6/17/2022,1217.30
6/16/2022,1236.63
6/15/2022,1213.93
6/14/2022,1230.31
6/13/2022,1227.04
6/10/2022,1284.08
6/9/2022,1307.80
6/8/2022,1307.91
6/7/2022,1291.35
6/6/2022,1290.01
6/3/2022,1287.98
6/2/2022,1288.62
6/1/2022,1299.52
5/31/2022,1292.68
5/30/2022,1293.92
5/27/2022,1285.45
5/26/2022,1268.57
5/25/2022,1268.43
5/24/2022,1233.38
5/23/2022,1218.81
5/20/2022,1240.71
5/19/2022,1241.64
5/18/2022,1240.76
5/17/2022,1228.37
5/16/2022,1171.95
5/13/2022,1182.77
5/12/2022,1238.84
5/11/2022,1301.53
5/10/2022,1293.56
